Adversary ID;Name;Race;Prompt
1;"Black Uruk";"Orc";"Create a high-quality, full-body portrait of character named Black Uruk, who is a Orc from Tolkien's Middle-earth, Large and evil Orcs of great strength, picked from among the fiercest to act as lieutenants, bodyguards or chosen warriors, sent to reinforce a colony of lesser Orcs., wielding a Broad-Bladed Sword with a Broad-Headed Spear strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
2;"Snaga Tracker";"Orc";"Create a high-quality, full-body portrait of character named Snaga Tracker, who is a Orc from Tolkien's Middle-earth, A smaller breed gifted with wide, snuffling nostrils, able to catch the scent of enemies from a distance, even after a prolonged period of time has passed. Trackers are a weak and lazy lot, but quick and clever., wielding a Bow of Horn with a Jagged Knife strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
3;"Messenger of Lugbúrz";"Orc";"Create a high-quality, full-body portrait of character named Messenger of Lugbúrz, who is a Orc from Tolkien's Middle-earth, An emissary of the Shadow, a Messenger of Lugbúrz is always on an errand for his Master, be it to spy upon Men, Elves or Dwarves, or to rouse all creatures with evil intent in an area., wielding a Scimitar with a Jagged Knife strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
4;"Orcs of Mount Gram";"Orc";"Create a high-quality, full-body portrait of character named Orcs of Mount Gram, who is a Orc from Tolkien's Middle-earth, The Orcs of Mount Gram have a long memory of their defeat at the hands of Bullroarer Took and fiercely hate all Hobbits, relentlessly attacking a company that includes one., wielding a Bent Sword with a Spear strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
5;"Goblins of Carn Dum";"Orc";"Create a high-quality, full-body portrait of character named Goblins of Carn Dum, who is a Orc from Tolkien's Middle-earth, A small, vicious breed of Orcs still inhabit the ruins of Carn Dum. There they hide, when they don’t prowl the land with war-bands led by warriors of the Hill-men of Rhudaur, who profit from the Goblins’ abilities as scouts and look-outs. The Goblins both hate and fear those who defeated their master, the Dúnedain and the High Elves of Rivendell., wielding a Broad-Bladed Sword with a Bow of Horn strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
6;"Orcs of the White Mountains";"Orc";"Create a high-quality, full-body portrait of character named Orcs of the White Mountains, who is a Orc from Tolkien's Middle-earth, After their defeat in the Battle of Azanulbizar, countless Orcs fled south from the Misty Mountains. Many of these took refuge in the White Mountains, becoming a plague on the lands of the Mata until the last of them were finally hunted down and slain by Folca King in 2863. Yet in some hidden fortresses within the least accessible corners of the White Mountains Orcs remain, lean and hungry and kept warm against the cold by the hate burning within their breasts., wielding a Bent Sword with a Spear strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
7;"Half-Orcs";"Orc";"Create a high-quality, full-body portrait of character named Half-Orcs, who is a Orc from Tolkien's Middle-earth, The more ill-favoured of Saruman’s creations are the Half-orcs, creatures whose ancestry cannot be disguised. Known also as Man-orcs, they are tall and ferocious, and are often dispatched to assault enemies defending behind an advantageous position, like a shield-wall formation for example, as their reach is longer than that of most Orcs., wielding a Orc-Axe with a Spear strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
8;"Uruk-Hai Soldiers";"Orc";"Create a high-quality, full-body portrait of character named Uruk-Hai Soldiers, who is a Orc from Tolkien's Middle-earth, Large and heavily muscled with fearsome features, many of these slant-eyed Orcs serve Saruman the White. They are equipped in Isengard, and are clad in heavy iron mail and wield broad short swords. But the Uruk-hai are not crude and savage as other Orcs. They are clever monsters, sent to accomplish delicate missions whose objectives are known only to the mind who plotted them., wielding a Broad-Bladed Sword with a Bow of Horn strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
9;"Goblin-Men";"Orc";"Create a high-quality, full-body portrait of character named Goblin-Men, who is a Orc from Tolkien's Middle-earth, Not obviously as Orc-like as the Half-orcs, Goblin-men are able to pass as individuals of a particularly foul appearance and temperament. They often work as spies and emissaries for their master in Orthanc, due to their ability to pass relatively unnoticed in civilised lands. From Bree to Gondor, they skulk in the shadows and listen to idle talk across Middle-earth before returning to Isengard., wielding a Jagged Knife.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
10;"Uruk-Hai Captain";"Orc";"Create a high-quality, full-body portrait of character named Uruk-Hai Captain, who is a Orc from Tolkien's Middle-earth, As tall as Men and wielding terrible weaponry, the captains of the Uruk-hai know no mercy – even towards their own soldiers. They are keen-minded and brutally efficient, driving their ‘lads’ with a combination of cracking whips and promised pain for those who do not follow their orders. Those serving Saruman are unwaveringly loyal to the White Hand and are often the only Orcs in a given company who have any hint at the reasons behind a mysterious command from their master., wielding a Broad-Bladed Sword with a Orc-Whip strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
11;"Orcish Wolf-Riders";"Orc";"Create a high-quality, full-body portrait of character named Orcish Wolf-Riders, who is a Orc from Tolkien's Middle-earth, In his later schemes against Rohan, Saruman plans to employ companies of Orcs riding Wild Wolves to oppose the horse-riding Rohirrim. These fast riders are particularly suited as scouts and as plunderers, as they can strike swiftly and return., wielding a Spear with a Bent Sword strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
12;"Hobgoblins";"Orc";"Create a high-quality, full-body portrait of character named Hobgoblins, who is a Orc from Tolkien's Middle-earth, Hobgoblins are an especially malevolent race of Orcs bred in the North in ages past. They are tall and gaunt, with long limbs and flat, almost noseless faces. Only a few members of that fell race survive today, in dark caverns beneath the Grey Mountains and under the Mountains of Mirkwood. Like the smaller Goblins of the mountains, they hate the light of the sun and rarely venture far from their lairs, but are exceedingly powerful at night or when prowling in darkness., wielding a Broad-Bladed Sword with a Bow of Horn strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
13;"Marsh Hags";"Orc";"Create a high-quality, full-body portrait of character named Marsh Hags, who is a Orc from Tolkien's Middle-earth, These solitary monsters appear to be large and twisted Water-goblins, with long arms and iron-hard claws. They are called hags as their heads seem covered by thick tresses of green hair, giving them the appearance of horrible, wicked crones. Marsh-hags hide in watery chambers beneath deep stagnant pools, waiting for an unfortunate traveller to stumble upon their hiding place., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
14;"Forest Goblin";"Orc";"Create a high-quality, full-body portrait of character named Forest Goblin, who is a Orc from Tolkien's Middle-earth, The Orcs of Mirkwood are wiry, pale creatures, mostly inhabiting the caves under the Mountains of Mirkwood and haunting the ruins of Dol Guldur. Their long limbs and bony hands are surprisingly powerful, a characteristic that many enemies discovered too late., wielding a Stone Spear with a Jagged Knife strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
15;"The Pale Ones";"Orc";"Create a high-quality, full-body portrait of character named The Pale Ones, who is a Orc from Tolkien's Middle-earth, Long ago, a small tribe of Goblins passed beneath the shadow of the mountains and slipped past the Ents into the gloom of Nan Mordeleb. As they supped on sickly toadstools, they changed, down in the dark. They lost much of their fears and gained a feral cunning vicious even by the standards of their own cruel race., wielding a Bow of Horn.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
16;"Common Hill Troll";"Troll";"Create a high-quality, full-body portrait of character named Common Hill Troll, who is a Troll from Tolkien's Middle-earth, Hill-Trolls are probably the most common breed of this cruel race, as they prowl desolate areas from the Coldfells in the north to Gorgoroth in the south. They are wild and beastly in battle, prone to bellowing and roaring to intimidate their enemies, but can be disciplined to use simple weapons and armour., wielding a Club.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
17;"Hill-Troll Chief";"Troll";"Create a high-quality, full-body portrait of character named Hill-Troll Chief, who is a Troll from Tolkien's Middle-earth, A Troll-chief is a larger, meaner and more intelligent Hill-Troll, a formidable opponent even for the most valorous (or reckless) heroes., wielding a Club.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
18;"Mountain Troll";"Troll";"Create a high-quality, full-body portrait of character named Mountain Troll, who is a Troll from Tolkien's Middle-earth, Mountain-Trolls are the largest of all Troll-races, often twelve feet or more in height. Immensely strong and dangerous, luckily they are rarely encountered, and are dull-witted and slow., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
19;"Etins";"Troll";"Create a high-quality, full-body portrait of character named Etins, who is a Troll from Tolkien's Middle-earth, Etins are some of the oldest of Troll-kind, barely distinguishable from huge piles of rock. They exhibit abnormal features now lost to the Stone-Trolls, like having four arms, or two heads growing side-by-side from their shoulders., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
20;"Fungal Troll";"Troll";"Create a high-quality, full-body portrait of character named Fungal Troll, who is a Troll from Tolkien's Middle-earth, Cave-Trolls that linger too long in the depths of Nan Mordeleb can change nearly beyond recognition, their bodies becoming hosts to swarms of fungal infestations. This softens their hide, making them (somewhat) easier to damage, yet all but inures them to pain. The resulting creatures are terrible to behold and perilous to fight., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
21;"Marsh Ogre";"Troll";"Create a high-quality, full-body portrait of character named Marsh Ogre, who is a Troll from Tolkien's Middle-earth, Some of the more terrifying tales surviving in the North talk of horrible man-eating Giants who were said to prowl lonely moors and bogs in search of prey. The most dangerous among them are said to have once lived in the marshes to the east of Mirkwood. No one has seen an Ogre in recent times, and the old and wise among the Men of the Lake say that they retreated among the mists of the bogs when Smaug took residence under the Lonely Mountain - few monsters were a match for a great Dragon! But now Smaug is dead, and the Marsh-ogres could emerge once again from their stinking retreats to threaten Lake-town and its prospering inhabitants., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
22;"Attercop";"Spider";"Create a high-quality, full-body portrait of character named Attercop, who is a Spider from Tolkien's Middle-earth, Many-eyed and many-legged, Attercops are giant spiders reaching up to the size of boats. They are crafty predators who attack unwary victims, first tying them up with their spider-thread and then poisoning them. While a single Attercop does not pose a significant threat to any but a less-experienced adventurer, a roused spider-colony can be a challenge even for a veteran company of heroes., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
23;"Hunter Spider";"Spider";"Create a high-quality, full-body portrait of character named Hunter Spider, who is a Spider from Tolkien's Middle-earth, Spawn of Tauler the Hunter and his sister Sarqin., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
24;"Great Spider";"Spider";"Create a high-quality, full-body portrait of character named Great Spider, who is a Spider from Tolkien's Middle-earth, Great Spiders display their dreadful heritage much more prominently than the lesser Attercops. They are gigantic in size, sometimes as big as horses or greater, but their soft, flexible bodies enable them to hide in surprisingly narrow passages. While they can always be described as monstrous spider creatures, their features often differ from one individual to another: the number and appearance of their legs and eyes may vary, for instance – some are supported by long and thin stalks, others move about on strong and hairy limbs ending in claw-like appendages, some spy from the dark with clustered eyes, and others follow their prey with bulbous, many-windowed eyes. Regardless of the details, Great Spiders are always a terrifying sight., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
25;"Great Bat";"Vampire";"Create a high-quality, full-body portrait of character named Great Bat, who is a Vampire from Tolkien's Middle-earth, Unusually large bats, whose taste for blood often leads them to follow when Orcs and Wargs go on raids or to war., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
26;"Elder Vampire";"Vampire";"Create a high-quality, full-body portrait of character named Elder Vampire, who is a Vampire from Tolkien's Middle-earth, The largest and most terrible of the winged vampires. These gargantuan bats are the size of a grown man with wings each as long as its body. Their clawed feet tear open the stomach of their victims and their fangs can pierce armor with ease., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
27;"Secret Shadow";"Vampire";"Create a high-quality, full-body portrait of character named Secret Shadow, who is a Vampire from Tolkien's Middle-earth, Taking the form of great misshapen bats, these servants of Sauron fly on their great fingered wings to carry his dark tidings or to spy upon the land, or join a swarm of Great Bats when war or hunt has provided them with prey. These Vampires belong to an astute and patient breed, always aware of the will of their Master and ready to do his bidding. Ages ago they were able to disguise their foul appearance and appear as beautiful women. Today, they may appear as such only briefly, to confound their opponents., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
28;"Hill-Men of Rhudaur";"Evil Men";"Create a high-quality, full-body portrait of character named Hill-Men of Rhudaur, who is a Evil Men from Tolkien's Middle-earth, Cruel warriors once serving the Witch-lord of Angmar, they were much reduced in numbers, but they still inhabit the land once ruled by their king. They received many gifts of sorcery, and have not forgotten their allegiance., wielding a Orc-Axe with a Spear strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
29;"Hill-Men of Gundabad";"Evil Men";"Create a high-quality, full-body portrait of character named Hill-Men of Gundabad, who is a Evil Men from Tolkien's Middle-earth, These Hill-men are wild warriors of the Black Hills of the Vales of Gundabad. Their ancestors served the Witch-king of Angmar, and they were given to the practice of sorcery. Today they do not serve the Shadow, but should their old master summon them, most of them would readily answer. The Hill-men can leave their bodies while sleeping in the form of spirit-Wargs, to join the wild wolves in their hunts., wielding a Spear with a Short Sword strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
30;"Gundabad Spirit Wargs";"Evil Men";"Create a high-quality, full-body portrait of character named Gundabad Spirit Wargs, who is a Evil Men from Tolkien's Middle-earth, Spirit Warg forms of the Hill Men of Gundabad., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
31;"Wild Men of Mirkwood";"Evil Men";"Create a high-quality, full-body portrait of character named Wild Men of Mirkwood, who is a Evil Men from Tolkien's Middle-earth, These men are the descendants of Northmen who fled into the deep forests of Mirkwood and became corrupt and evil. They forgot all their lore, and now use carved wood and chipped stone instead of metal. They speak a barbaric tongue that is part a degenerate form of the Common Speech and part mimicry of the chirps and clicks of the Spiders., wielding a Stone Spear with a Bow strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
32;"Dunlending Raiders";"Evil Men";"Create a high-quality, full-body portrait of character named Dunlending Raiders, who is a Evil Men from Tolkien's Middle-earth, Sometimes, when a particularly harsh winter has passed or a provocation from the hated Forgoil rouses them, the Men of Dunland assemble war parties and descend swiftly from their hills to plunder and kill, before retreating just as quickly back into the mountain mists where few dare follow them., wielding a Axe with a Spear strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
33;"Wulfing Riders";"Evil Men";"Create a high-quality, full-body portrait of character named Wulfing Riders, who is a Evil Men from Tolkien's Middle-earth, The Wulfings bear the symbols of their mixed ancestry, the old roots of their Dunlendish blood and their Northman heritage. They will draw their blade on anyone who forgets that one of their lords was once king of all Rohan., wielding a Spear with a Sword strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
34;"Warriors of the Gaesela";"Evil Men";"Create a high-quality, full-body portrait of character named Warriors of the Gaesela, who is a Evil Men from Tolkien's Middle-earth, Proud in their old ways, the Dunlendings of the west march of Rohan are more peaceful than their kin living in the Dunland Fells, but they are just as quick to draw blood if given a reason., wielding a Spear with a Axe strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
35;"Men of Isengard";"Evil Men";"Create a high-quality, full-body portrait of character named Men of Isengard, who is a Evil Men from Tolkien's Middle-earth, Many of Saruman’s most trusted servants belong to the folk of Isengard, men and women who have lived all their lives under the shadow of the Tower of Orthanc. Well-fed and trained, they are loyal and dependable., wielding a Spear.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
36;"Easterling Warrior";"Evil Men";"Create a high-quality, full-body portrait of character named Easterling Warrior, who is a Evil Men from Tolkien's Middle-earth, The warriors of the East are fierce and tough. Adorned in bronzed and gilded mail and armed with gleaming curved blades, these foreign fighters are a strange and fearful sight., wielding a Spear with a Scimitar strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
37;"Easterling Captain";"Evil Men";"Create a high-quality, full-body portrait of character named Easterling Captain, who is a Evil Men from Tolkien's Middle-earth, Captains in the armies of the East are especially cruel, establishing their authority through fear and pain. They are just as capable of inflicting that pain on their foes., wielding a Scimitar with a Dagger strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
38;"Easterling Raider";"Evil Men";"Create a high-quality, full-body portrait of character named Easterling Raider, who is a Evil Men from Tolkien's Middle-earth, Fast and light skirmishing units of the Easterlings are a common sight near the Iron Hills, in Dorwinion, and sometimes in the furthest reaches of Dalish lands. These raiders are fast and brutal, and are masters of both horse and bow., wielding a Spear with a Bow strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
39;"Easterling Sorcerer";"Evil Men";"Create a high-quality, full-body portrait of character named Easterling Sorcerer, who is a Evil Men from Tolkien's Middle-earth, Petty sorcery is the fare of dark cultists and secretive courtiers in the kingdoms of the East. Black temples to Morgoth are the training grounds for men and women with knowledge of evil power who use their knowledge to aid in the wars fought in Dark Lord Sauron’s name., wielding a Black-Bladed Dagger.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
40;"Corrupted Dwarf Warrior";"Evil Men";"Create a high-quality, full-body portrait of character named Corrupted Dwarf Warrior, who is a Evil Men from Tolkien's Middle-earth, The warriors of the dwarves are fearsome and sturdy. When they lose their minds from shadow corruption, they become a very dangerous threat., wielding a Axe with a Mattock strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
41;"Corrupted Dwarf";"Evil Men";"Create a high-quality, full-body portrait of character named Corrupted Dwarf, who is a Evil Men from Tolkien's Middle-earth, The dwarves are resilient against the corruption of shadow, but they are not immune to the enemy. Many are driven to their own selfish and destructive ends., wielding a Axe.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
42;"Corrupted Dwarf Veteran";"Evil Men";"Create a high-quality, full-body portrait of character named Corrupted Dwarf Veteran, who is a Evil Men from Tolkien's Middle-earth, Experienced dwarven warriors that become corrupted can best several mannish fighters simultaneously, requiring a half-dozen warriors or more to subdue., wielding a Axe with a Mattock strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
43;"Spectres";"Undead";"Create a high-quality, full-body portrait of character named Spectres, who is a Undead from Tolkien's Middle-earth, Not all the spirits that tarry in Middle-earth are bound to the service of Sauron, yet all feel the pull of his will. Powerful and strong-willed Men or Elves who died while pursuing acts of passion and great pride are often so consumed by their obsessions that they can linger on after death, haunting places they once used to love or inhabit., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
44;"Bog Soldiers";"Undead";"Create a high-quality, full-body portrait of character named Bog Soldiers, who is a Undead from Tolkien's Middle-earth, Dead soldiers of a war long past, lying in rest beneath the Ettenmoors., wielding a Short Sword.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
45;"Wood-Wight";"Undead";"Create a high-quality, full-body portrait of character named Wood-Wight, who is a Undead from Tolkien's Middle-earth, Spirits from Dol Guldur possessing the bodies of Northmen., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
46;"Dead Men of Dunharrow";"Undead";"Create a high-quality, full-body portrait of character named Dead Men of Dunharrow, who is a Undead from Tolkien's Middle-earth, Shades of the men of the mountains, cursed to undeath after betraying their king in the war of the last alliance., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
47;"Grim Hawks";"Monster";"Create a high-quality, full-body portrait of character named Grim Hawks, who is a Monster from Tolkien's Middle-earth, Grim Hawks eat fish and smaller birds, as well as worms and insects they dig out of the mud with their sharp curved beaks. They also eat carrion by placing one clawed foot on the corpse and tearing the flesh with their beaks. A hungry Grim Hawk can be brave enough to attack an armed man, and a flock may surround a group of men., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
48;"Basilisks";"Monster";"Create a high-quality, full-body portrait of character named Basilisks, who is a Monster from Tolkien's Middle-earth, Called Sarnlug by the Elves, and Fágwyrm by the Northmen, these lizards are said to be cast-offs from the Enemy’s earliest attempts to make dragons. Most Basilisks are as large as boars, but they can grow much bigger. Their yellowish bellies drag on the ground as they waddle through the forest’s underbrush., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
49;"Huorns";"Monster";"Create a high-quality, full-body portrait of character named Huorns, who is a Monster from Tolkien's Middle-earth, Ancient and vengeful tree-like creatures. They are not quite Ents but possess a malevolent will of their own., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
50;"Bloodstump the Hunter";"Adversaries in Eriador";"Create a high-quality, full-body portrait of character named Bloodstump the Hunter, who is a Adversaries in Eriador from Tolkien's Middle-earth, Bloodstump was the Hill-Troll Chief responsible for killing the Chieftain of the Dúnedain, Arador, the grandfather of Aragorn. He wields a terrible weapon, a dark gift from an invisible master., wielding a Great Black Mace.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
