Adversary ID;Name;Race;Prompt
51;"The Queen on Castle Hill";"Adversaries in Eriador";"Create a high-quality, full-body portrait of character named The Queen on Castle Hill, who is a Adversaries in Eriador from Tolkien's Middle-earth, Rine, the self-proclaimed Queen of Castle Hill, is a huge solitary Stone-Troll with fists like boulders and a mind more cunning than most of her kind. Her weakness might lie in the excessive trust she puts in her improvised coat of armor., wielding a Club.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
58;"Gorgol, Son of Bolg";"Adversaries in Eriador";"Create a high-quality, full-body portrait of character named Gorgol, Son of Bolg, who is a Adversaries in Eriador from Tolkien's Middle-earth, Gorgol is a young Great Orc, dreadfully strong but not yet grown to full size and power. What he lacks in might he makes up in cunning., wielding a Heavy Scimitar with a Orc-Axe strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
59;"Maghaz, Orc-Captain";"Adversaries in Eriador";"Create a high-quality, full-body portrait of character named Maghaz, Orc-Captain, who is a Adversaries in Eriador from Tolkien's Middle-earth, The castellan of Fenbridge, in Southern Mirkwood, is a wily creature who has learnt how to survive in the shadow of Dol Guldur: trust no one, never lead openly when you can plot in the dark, obey your masters, and when something goes wrong always find someone to put the blame upon., wielding a Bent Sword with a Spear strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
60;"Nagrhaw, Chief of the Wargs";"Adversaries in Eriador";"Create a high-quality, full-body portrait of character named Nagrhaw, Chief of the Wargs, who is a Adversaries in Eriador from Tolkien's Middle-earth, Nagrhaw, Chief of the Wargs is a Wolf Leader of unusual strength and cunning. He is always accompanied by a retinue of Wild Wolves, and sometimes Orcs., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
61;"The New Great Goblin";"Adversaries in Eriador";"Create a high-quality, full-body portrait of character named The New Great Goblin, who is a Adversaries in Eriador from Tolkien's Middle-earth, The self-styled Greatest Goblin is a lumbering, huge Orc, consumed by an unquenchable thirst for revenge. He will go to any length to bring harm upon the dwellers of the Vales of Anduin, and especially the Beornings, but would go to greater lengths to preserve his own safety., wielding a Orc-Axe with a Broad-Headed Spear strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
62;"Black Warg of Methedras";"Adversaries in Rohan";"Create a high-quality, full-body portrait of character named Black Warg of Methedras, who is a Adversaries in Rohan from Tolkien's Middle-earth, A dark spirit inhabits the form of the Black Warg of Methedras, an evil shade that feeds off the breath of the living and is augmented by the deep shadows of the blackest nights., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
63;"Stoneclaws the Bear";"Adversaries in Rohan";"Create a high-quality, full-body portrait of character named Stoneclaws the Bear, who is a Adversaries in Rohan from Tolkien's Middle-earth, Raised from a cub on the draughts of the Ents, Stoneclaws is a (mostly) benevolent sight within the forest. Woe betide any who provoke or attack him, however., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
64;"The Great Boar of Everholt";"Adversaries in Rohan";"Create a high-quality, full-body portrait of character named The Great Boar of Everholt, who is a Adversaries in Rohan from Tolkien's Middle-earth, Is the fabled Boar of Everholt a myth, an undying creature that lives to be hunted and slain only to return to prowl the woods, or is it the progeny of a breed of boars that once every century generates a specimen of prodigious size?, wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
65;"Dreorg the Wargling";"Adversaries in Rohan";"Create a high-quality, full-body portrait of character named Dreorg the Wargling, who is a Adversaries in Rohan from Tolkien's Middle-earth, Dreorg the Wargling was once one of the Hill-men living in the vale of Gundabad, to the east of the Misty Mountains. To escape death, his spirit fled his form and entered that of a particularly large, savage Warg., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
66;"Radgul the Orc-Chief";"Adversaries in Rohan";"Create a high-quality, full-body portrait of character named Radgul the Orc-Chief, who is a Adversaries in Rohan from Tolkien's Middle-earth, Radgul is the chieftain of the Orcs of Mount Gram, a wily, scarred old Orc with ambitions on the throne of Mount Gundabad and the cunning and patience to achieve his goals., wielding a Orc-Axe with a Spear strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
67;"The Wight-King (Buffed)";"Adversaries in Rohan";"Create a high-quality, full-body portrait of character named The Wight-King (Buffed), who is a Adversaries in Rohan from Tolkien's Middle-earth, A spirit great and terrible dwells in the greatest mound of the Barrow-downs. Clad in ancient armour that has been pitted and ruined with age, he wields a broken blade with skeletal hands., wielding a Ancient Sword.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
68;"The Witch-King of Angmar";"The Nazgûl";"Create a high-quality, full-body portrait of character named The Witch-King of Angmar, who is a The Nazgûl from Tolkien's Middle-earth, Lord of the Nazgûl and chief servant of Sauron., wielding a Long-Sword with a Morgul Knife strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
69;"The Sorcerer of Forod";"The Nazgûl";"Create a high-quality, full-body portrait of character named The Sorcerer of Forod, who is a The Nazgûl from Tolkien's Middle-earth, Ringwraith of Rhovanion, seeking to overthrow the kingdom of Erebor., wielding a Long-Sword with a Morgul Knife strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
70;"The Lieutenant of Dol Guldur";"The Nazgûl";"Create a high-quality, full-body portrait of character named The Lieutenant of Dol Guldur, who is a The Nazgûl from Tolkien's Middle-earth, Chief of the 3 ringwraiths of Dol Guldur., wielding a Long Sword.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
71;"The Messenger of Mordor";"The Nazgûl";"Create a high-quality, full-body portrait of character named The Messenger of Mordor, who is a The Nazgûl from Tolkien's Middle-earth, The chief messenger of Mordor, equipped with a swift black horse and a raiment to hide his dark undead features., wielding a Long Sword.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
72;"The Ghost of the Forest";"The Nazgûl";"Create a high-quality, full-body portrait of character named The Ghost of the Forest, who is a The Nazgûl from Tolkien's Middle-earth, This ringwraith roams Mirkwood unclad and invisible. Its passing can only be detected by a chill in the air and a feeling of terror., wielding a Long Sword.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
73;"Nazgûl";"The Nazgûl";"Create a high-quality, full-body portrait of character named Nazgûl, who is a The Nazgûl from Tolkien's Middle-earth, The lesser known members of the 9 are still incredibly deadly foes., wielding a Long Sword.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
74;"The Horse-Eater";"Troll";"Create a high-quality, full-body portrait of character named The Horse-Eater, who is a Troll from Tolkien's Middle-earth, A greater-snow troll of prodigious size with a blunt snout., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
75;"Caselwun";"Evil Men";"Create a high-quality, full-body portrait of character named Caselwun, who is a Evil Men from Tolkien's Middle-earth, Leader of a band of Dunlending raiders., wielding a Spear with a Axe strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
76;"Blodred";"Evil Men";"Create a high-quality, full-body portrait of character named Blodred, who is a Evil Men from Tolkien's Middle-earth, The thirst for vengeance has consumed him, turning Hope to Hate in lesser measure., wielding a Great Spear with a Sword strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
77;"Rhonwen";"Evil Men";"Create a high-quality, full-body portrait of character named Rhonwen, who is a Evil Men from Tolkien's Middle-earth, Twin sister of Caselwun., wielding a Spear with a Axe strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
77;"Chosen Dunlending Warriors";"Evil Men";"Create a high-quality, full-body portrait of character named Chosen Dunlending Warriors, who is a Evil Men from Tolkien's Middle-earth, Warriors of the Iron-Folk, loyal to their leaders and fierce in battle., wielding a Great Axe with a Sword strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
78;"The Barrow-Witch";"Undead";"Create a high-quality, full-body portrait of character named The Barrow-Witch, who is a Undead from Tolkien's Middle-earth, Crone with intimate knowledge of Silver Mere., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
79;"The Grey Horse";"Monster";"Create a high-quality, full-body portrait of character named The Grey Horse, who is a Monster from Tolkien's Middle-earth, The malevolent horse-spirit of Silver Mere., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
80;"Hirdan, Bandit Leader";"Evil Men";"Create a high-quality, full-body portrait of character named Hirdan, Bandit Leader, who is a Evil Men from Tolkien's Middle-earth, Hirdan is a large and imposing brute with reddish hair, squinting blue eyes and hands scarred from years spent breaking stone in Gondor’s quarries., wielding a Spear with a Sword strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
81;"Bandits from the South";"Evil Men";"Create a high-quality, full-body portrait of character named Bandits from the South, who is a Evil Men from Tolkien's Middle-earth, Wicked men under the command of Hirdan., wielding a Spear with a Bow strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
82;"Agents of Mordor";"Evil Men";"Create a high-quality, full-body portrait of character named Agents of Mordor, who is a Evil Men from Tolkien's Middle-earth, Wicked Southrons trying to get Horses for Mordor., wielding a Scimitar.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
83;"Horse-Lords Spectre";"Undead";"Create a high-quality, full-body portrait of character named Horse-Lords Spectre, who is a Undead from Tolkien's Middle-earth, Ghost of the horse-lord defending his barrow., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
84;"Gazhur Three-Deaths";"Orc";"Create a high-quality, full-body portrait of character named Gazhur Three-Deaths, who is a Orc from Tolkien's Middle-earth, Chief of the Orcs of the High Stone in the White Mountains., wielding a Heavy Scimitar with a Broad-Headed Spear strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
85;"Malthor, The Axe-Bitten";"Orc";"Create a high-quality, full-body portrait of character named Malthor, The Axe-Bitten, who is a Orc from Tolkien's Middle-earth, A notable chieftain among the Orcs of the White Mountains., wielding a Black Sword with a Spear strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
86;"Thugs";"Evil Men";"Create a high-quality, full-body portrait of character named Thugs, who is a Evil Men from Tolkien's Middle-earth, A trio of caravan guards that are threatening Baldor for supposedly cheating them out of their pay., wielding a Short Sword.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
87;"Night-Wight";"Undead";"Create a high-quality, full-body portrait of character named Night-Wight, who is a Undead from Tolkien's Middle-earth, A thing of shadow, haunting the remains of a warrior who once fell into corruption., wielding a Spear.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
88;"The Thing in the Well";"Monster";"Create a high-quality, full-body portrait of character named The Thing in the Well, who is a Monster from Tolkien's Middle-earth, The Nameless Thing inside the Well in the Wood. Not even the Wise might guess where this thing is from or how it came here., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
89;"Faron the Trapper";"Evil Men";"Create a high-quality, full-body portrait of character named Faron the Trapper, who is a Evil Men from Tolkien's Middle-earth, A grim trapper ordered to shadow Oderic by Valter., wielding a Spear with a Axe strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
90;"Valter the Bloody";"Evil Men";"Create a high-quality, full-body portrait of character named Valter the Bloody, who is a Evil Men from Tolkien's Middle-earth, Valter claims to be the descendant of noble kings, but he would be a bloody-handed tyrant if he ever won his kingdom., wielding a Sword.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
91;"Oderic";"Evil Men";"Create a high-quality, full-body portrait of character named Oderic, who is a Evil Men from Tolkien's Middle-earth, A young Beorning who has betrayed his people to Valter., wielding a Sword.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
92;"Outlaws";"Evil Men";"Create a high-quality, full-body portrait of character named Outlaws, who is a Evil Men from Tolkien's Middle-earth, Mean, ill-favoured men from the South. Some ride ugly, half-starved horses., wielding a Spear with a Bow strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
93;"Undead Warriors";"Undead";"Create a high-quality, full-body portrait of character named Undead Warriors, who is a Undead from Tolkien's Middle-earth, Once young and valorous men, the guards of the Alderman have been stripped of their lives and will by the Necromancer’s dark arts., wielding a Sword.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
94;"Ghor the Despoiler";"Orc";"Create a high-quality, full-body portrait of character named Ghor the Despoiler, who is a Orc from Tolkien's Middle-earth, A huge orc-chieftain from the Mountains of Shadow. Leader of the Dwimmerhorn., wielding a Heavy Scimitar with a Orc-Axe strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
95;"Easterling Warriors";"Evil Men";"Create a high-quality, full-body portrait of character named Easterling Warriors, who is a Evil Men from Tolkien's Middle-earth, These men are mercenaries from the plains to the distant East, drawn to Dol Guldur with promises of bloodshed and fortune., wielding a Pike with a Long-Hafted Axe strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
96;"Gerold the Beorning";"Evil Men";"Create a high-quality, full-body portrait of character named Gerold the Beorning, who is a Evil Men from Tolkien's Middle-earth, A wild mercenary fighting in the melee tournament., wielding a Axe.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
97;"Elstan, Captain of Dale";"Evil Men";"Create a high-quality, full-body portrait of character named Elstan, Captain of Dale, who is a Evil Men from Tolkien's Middle-earth, A wild mercenary fighting in the melee tournament., wielding a Spear.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
98;"Elstan’s Followers";"Evil Men";"Create a high-quality, full-body portrait of character named Elstan’s Followers, who is a Evil Men from Tolkien's Middle-earth, Men of Dale fighting for Elstan in the tournament., wielding a Sword.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
99;"The Gibbet King";"Undead";"Create a high-quality, full-body portrait of character named The Gibbet King, who is a Undead from Tolkien's Middle-earth, The host body of the jailer for the Necromancer of Dol Guldur., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
100;"Snow Trolls";"Troll";"Create a high-quality, full-body portrait of character named Snow Trolls, who is a Troll from Tolkien's Middle-earth, Snow-trolls are smaller than many of their brethren, but their ferocity makes up for the difference in size. They are usually found in caves, where they slumber waiting for a snowstorm to arrive., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
101;"Raenar the Cold-Drake";"Monster";"Create a high-quality, full-body portrait of character named Raenar the Cold-Drake, who is a Monster from Tolkien's Middle-earth, Raenar is a monster bred in another age of the world. Once grown back to full stature, there will be no match for his strength in the North, now that Smaug is dead., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
102;"Savage Wolfdogs";"Monster";"Create a high-quality, full-body portrait of character named Savage Wolfdogs, who is a Monster from Tolkien's Middle-earth, The dogs of the hill-men of Gundabad. Fully grown, they are tenacious beasts, easily pitted against predators twice their size., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
103;"Heddwyn as Spirit-Warg";"Monster";"Create a high-quality, full-body portrait of character named Heddwyn as Spirit-Warg, who is a Monster from Tolkien's Middle-earth, Cruel, dominated spirit-warg form of Heddwyn., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
104;"The Lurker in the Long Valley";"Monster";"Create a high-quality, full-body portrait of character named The Lurker in the Long Valley, who is a Monster from Tolkien's Middle-earth, A monstrosity of pincers and blade-like legs that defies description., wielding a Blade-Like Leg.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
105;"Heddwyn";"Evil Men";"Create a high-quality, full-body portrait of character named Heddwyn, who is a Evil Men from Tolkien's Middle-earth, A human sorcerer dominated entirely by the power of the Witch King of Angmar., wielding a Spear.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
102;"Sergeant Cyrnan";"Evil Men";"Create a high-quality, full-body portrait of character named Sergeant Cyrnan, who is a Evil Men from Tolkien's Middle-earth, The rugged cutthroat leader of the bandit camp., wielding a Sword.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
103;"Ruthless Bandits";"Evil Men";"Create a high-quality, full-body portrait of character named Ruthless Bandits, who is a Evil Men from Tolkien's Middle-earth, Bandits under the leadership of Sergeant Cyrnan., wielding a Sword with a Bow strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
104;"Ettin Guardian";"Monster";"Create a high-quality, full-body portrait of character named Ettin Guardian, who is a Monster from Tolkien's Middle-earth, Ettin camp guard at Captain Mormog's gathering., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
105;"Captain Mormog";"Troll";"Create a high-quality, full-body portrait of character named Captain Mormog, who is a Troll from Tolkien's Middle-earth, An Olog-hai bred by Sauron to lead armies of trolls. Stronger, faster, and smarter than their older brethren., wielding a Notched Sword.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
106;"Hobbit Spectres";"Undead";"Create a high-quality, full-body portrait of character named Hobbit Spectres, who is a Undead from Tolkien's Middle-earth, Ghosts of old hobbit archers, unable to rest., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
107;"Fell Wraiths";"Undead";"Create a high-quality, full-body portrait of character named Fell Wraiths, who is a Undead from Tolkien's Middle-earth, Shadowy undead that serve Angmar., wielding a Pitted Blade.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
108;"Caradog, Dunlending Hunter";"Evil Men";"Create a high-quality, full-body portrait of character named Caradog, Dunlending Hunter, who is a Evil Men from Tolkien's Middle-earth, Minion of Uatach, hunter for the company of the Wain., wielding a Spear.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
109;"Uatach";"Evil Men";"Create a high-quality, full-body portrait of character named Uatach, who is a Evil Men from Tolkien's Middle-earth, Fortune teller in the company of the Wain., wielding a Jagged Knife.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
110;"Armed Men";"Evil Men";"Create a high-quality, full-body portrait of character named Armed Men, who is a Evil Men from Tolkien's Middle-earth, Men of the company of the Wain responding to an attack., wielding a Spear with a Bow strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
111;"Thugs";"Evil Men";"Create a high-quality, full-body portrait of character named Thugs, who is a Evil Men from Tolkien's Middle-earth, Common thugs in the company of the Wain., wielding a Dagger.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
112;"Dunlending Warriors";"Evil Men";"Create a high-quality, full-body portrait of character named Dunlending Warriors, who is a Evil Men from Tolkien's Middle-earth, Dunlendings transporting a bound man., wielding a Long-Hafted Axe with a Spear strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
113;"Armed Villagers";"Evil Men";"Create a high-quality, full-body portrait of character named Armed Villagers, who is a Evil Men from Tolkien's Middle-earth, Group of local villagers that attack the company., wielding a Sword with a Spear strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
114;"Elwin";"Evil Men";"Create a high-quality, full-body portrait of character named Elwin, who is a Evil Men from Tolkien's Middle-earth, Charismatic and quick-witted young man of Bree., wielding a Sword.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
115;"Fay";"Evil Men";"Create a high-quality, full-body portrait of character named Fay, who is a Evil Men from Tolkien's Middle-earth, Humorous but mischievous hobbit girl., wielding a Bow.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
116;"Herbert";"Evil Men";"Create a high-quality, full-body portrait of character named Herbert, who is a Evil Men from Tolkien's Middle-earth, Handsome young breelander who is jealous of Elwin., wielding a Dagger.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
117;"Folulf and Arnulf";"Evil Men";"Create a high-quality, full-body portrait of character named Folulf and Arnulf, who is a Evil Men from Tolkien's Middle-earth, Two traveling woodsmen brothers., wielding a Axe (Folulf) with a Bow (Arnulf) strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
118;"Huldrahir, Dunadan Spectre";"Undead";"Create a high-quality, full-body portrait of character named Huldrahir, Dunadan Spectre, who is a Undead from Tolkien's Middle-earth, A tall ghost-like figure. The ancestor of Hiraval and the shadow in the manor., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
119;"The Deadly One";"Orc";"Create a high-quality, full-body portrait of character named The Deadly One, who is a Orc from Tolkien's Middle-earth, One-eyed great orc who once fought for Angmar., wielding a Heavy Scimitar with a Broad-Headed Spear strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
