Adversary ID;Name;Race;Prompt
120;"Goblin Horde";"Orc";"Create a high-quality, full-body portrait of character named Goblin Horde, who is a Orc from Tolkien's Middle-earth, The goblin hordes from Carn Dum., wielding a Broad-Bladed Sword with a Bow of Horn strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
121;"Thieving Dwarves";"Evil Men";"Create a high-quality, full-body portrait of character named Thieving Dwarves, who is a Evil Men from Tolkien's Middle-earth, Hard working dwarves under the command of Lofar., wielding a Mattock.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
122;"Lofar Light-Finger";"Evil Men";"Create a high-quality, full-body portrait of character named Lofar Light-Finger, who is a Evil Men from Tolkien's Middle-earth, Leader of the a small band of dwarves in the ruins of Fornost., wielding a Mattock.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
123;"The Old Troll";"Troll";"Create a high-quality, full-body portrait of character named The Old Troll, who is a Troll from Tolkien's Middle-earth, An old and dangerous stone-troll, cunning and fast beyond the common measure of his kind., wielding a Troll-Knife.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
124;"Brutes of Bree";"Evil Men";"Create a high-quality, full-body portrait of character named Brutes of Bree, who is a Evil Men from Tolkien's Middle-earth, Brutes brought by Gror the dwarf., wielding a Spear.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
125;"Gror the Dwarf";"Evil Men";"Create a high-quality, full-body portrait of character named Gror the Dwarf, who is a Evil Men from Tolkien's Middle-earth, Thieving dwarf attempting to rob the Black Barrow., wielding a Mattock.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
126;"Edoric";"Evil Men";"Create a high-quality, full-body portrait of character named Edoric, who is a Evil Men from Tolkien's Middle-earth, Guide from Enedwaith, kin to the Dunlendings., wielding a Spear with a Bow strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
127;"Vogar";"Orc";"Create a high-quality, full-body portrait of character named Vogar, who is a Orc from Tolkien's Middle-earth, A Dwarf-warrior of renown, once a champion of the Blue Mountains., wielding a Mattock.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
128;"Narvi the Young";"Orc";"Create a high-quality, full-body portrait of character named Narvi the Young, who is a Orc from Tolkien's Middle-earth, The youngest of the party of dwarves, and a scoundrel., wielding a Sword.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
129;"Hirlinion";"Evil Men";"Create a high-quality, full-body portrait of character named Hirlinion, who is a Evil Men from Tolkien's Middle-earth, Devoted follower of the sorcerer Gorlanc., wielding a Dagger.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
130;"Berelas";"Evil Men";"Create a high-quality, full-body portrait of character named Berelas, who is a Evil Men from Tolkien's Middle-earth, A captive woodman tortured and forced to serve Gorlanc., wielding a Dagger with a Bow strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
131;"The Cold Shade";"Undead";"Create a high-quality, full-body portrait of character named The Cold Shade, who is a Undead from Tolkien's Middle-earth, This creature might be an undead spirit, or it could be the malign expression of Gorlanc’s will – or perhaps both? Maybe the sorcerer called a wraith out of some ancient tomb in the north, and now uses it like a mask to project his mind across the leagues., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
132;"White Wolf of the North";"Monster";"Create a high-quality, full-body portrait of character named White Wolf of the North, who is a Monster from Tolkien's Middle-earth, Leader of the wolf pack drawn in by the power of the ring., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
133;"Gorlanc’s Warriors";"Evil Men";"Create a high-quality, full-body portrait of character named Gorlanc’s Warriors, who is a Evil Men from Tolkien's Middle-earth, Warriors of Gorlanc seeking to regain the ring., wielding a Axe.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
134;"Bluebell Wood Oakmen";"Evil Men";"Create a high-quality, full-body portrait of character named Bluebell Wood Oakmen, who is a Evil Men from Tolkien's Middle-earth, The creatures are small as children and wear wide-brimmed soft hats, a deep red in colour. They look like scruffy, wilder Hobbits, including even the loners that wander the remote parts of Bree-land., wielding a Sword with a Bow strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
135;"Gorlanc’s Followers";"Evil Men";"Create a high-quality, full-body portrait of character named Gorlanc’s Followers, who is a Evil Men from Tolkien's Middle-earth, Loyal followers of the sorcerer Gorlanc., wielding a Axe.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
136;"Gorlanc";"Evil Men";"Create a high-quality, full-body portrait of character named Gorlanc, who is a Evil Men from Tolkien's Middle-earth, Former sorcerer and servant of evil. Now just a tattered robe-wearing old man with a poisoned dagger., wielding a Dagger.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
137;"Longo";"Evil Men";"Create a high-quality, full-body portrait of character named Longo, who is a Evil Men from Tolkien's Middle-earth, Hobbit bandit leader posing as a man named Clovis., wielding a Dagger.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
138;"Longo’s Lieutenants";"Evil Men";"Create a high-quality, full-body portrait of character named Longo’s Lieutenants, who is a Evil Men from Tolkien's Middle-earth, The men serving under the bandit leader Longo., wielding a Sword.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
139;"Gunvar’s Bodyguards";"Evil Men";"Create a high-quality, full-body portrait of character named Gunvar’s Bodyguards, who is a Evil Men from Tolkien's Middle-earth, Hand-picked elite warriors protecting Lord Gunvar., wielding a Sword.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
140;"Gunvar’s Men-at-Arms";"Evil Men";"Create a high-quality, full-body portrait of character named Gunvar’s Men-at-Arms, who is a Evil Men from Tolkien's Middle-earth, The soldiers in the service of Lord Gunvar., wielding a Sword.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
141;"Firbul, Snaga Tracker";"Orc";"Create a high-quality, full-body portrait of character named Firbul, Snaga Tracker, who is a Orc from Tolkien's Middle-earth, This small but guileful Orc serves the Sorcerer of Forod., wielding a Deadly Bow of Horn with a Jagged Knife strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
142;"Cutthroats of the Dalelands";"Evil Men";"Create a high-quality, full-body portrait of character named Cutthroats of the Dalelands, who is a Evil Men from Tolkien's Middle-earth, Firbul’s men are some of the many outlaws and misfits that Lord Hakon of Dale has been recruiting lately., wielding a Sword with a Bow strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
143;"Silent Vultures";"Monster";"Create a high-quality, full-body portrait of character named Silent Vultures, who is a Monster from Tolkien's Middle-earth, Great monstrous vultures with wings of iron, bred in the fortress of Angband in an age long past., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
144;"Skarf, Lord of Brech";"Evil Men";"Create a high-quality, full-body portrait of character named Skarf, Lord of Brech, who is a Evil Men from Tolkien's Middle-earth, Lord of Brech under the thrall of the dragon., wielding a Great Axe.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
145;"Dwarven Assassin";"Orc";"Create a high-quality, full-body portrait of character named Dwarven Assassin, who is a Orc from Tolkien's Middle-earth, Assassins attacking in the hall of Brech., wielding a Axe with a Dagger strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
146;"Raenar The Plunderer";"Monster";"Create a high-quality, full-body portrait of character named Raenar The Plunderer, who is a Monster from Tolkien's Middle-earth, Dragon with a cold and bitter heart inhabiting the watchtower of Zirakinbar., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
147;"Wrunele the Fiery";"Monster";"Create a high-quality, full-body portrait of character named Wrunele the Fiery, who is a Monster from Tolkien's Middle-earth, A young dragon with a bold determination for glory., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
148;"Mud-Man";"Evil Men";"Create a high-quality, full-body portrait of character named Mud-Man, who is a Evil Men from Tolkien's Middle-earth, Sinister wood-elves under the leadership of Linnon., wielding a Dagger.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
149;"The Guttermaw";"Monster";"Create a high-quality, full-body portrait of character named The Guttermaw, who is a Monster from Tolkien's Middle-earth, Some bygone breed of serpent left to breed deep beneath the earth., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
150;"Wolf of the Waste";"Monster";"Create a high-quality, full-body portrait of character named Wolf of the Waste, who is a Monster from Tolkien's Middle-earth, Wolves of the Upper Marches in the Dale Lands., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
151;"The Devourer";"Monster";"Create a high-quality, full-body portrait of character named The Devourer, who is a Monster from Tolkien's Middle-earth, Greater warg with marks of ancient injuries and huge fangs., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
152;"Ravenous Goblins";"Orc";"Create a high-quality, full-body portrait of character named Ravenous Goblins, who is a Orc from Tolkien's Middle-earth, Goblin servants of The Devourer., wielding a Jagged Knife.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
153;"The Stalker in the Deeps";"Monster";"Create a high-quality, full-body portrait of character named The Stalker in the Deeps, who is a Monster from Tolkien's Middle-earth, A stalker and killer in the deep places of the Lonely Mountain., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
154;"Servants of Tyrants Hill";"Evil Men";"Create a high-quality, full-body portrait of character named Servants of Tyrants Hill, who is a Evil Men from Tolkien's Middle-earth, Cruel men who once served the Necromancer of Dol Guldur, now sworn to Mogdred. Well-trained warriors with superior arms and equipment., wielding a Sword.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
155;"Raegenhere";"Undead";"Create a high-quality, full-body portrait of character named Raegenhere, who is a Undead from Tolkien's Middle-earth, Incarnated wood-wight and lord of the hall in Sunstead. Possessed and deathless., wielding a Great Axe.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
156;"The Forest Dragon";"Monster";"Create a high-quality, full-body portrait of character named The Forest Dragon, who is a Monster from Tolkien's Middle-earth, Canny and wood-wise, this dragon is stealthy and blends into the darkness of the forest with its green-black hide., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
157;"Valdis the Great Vampire";"Vampire";"Create a high-quality, full-body portrait of character named Valdis the Great Vampire, who is a Vampire from Tolkien's Middle-earth, The giant bat combat form of Valdis, the queen of the vampires in the Mountains of Mirkwood., wielding a Rake.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
158;"Tyulqin the Weaver";"Spider";"Create a high-quality, full-body portrait of character named Tyulqin the Weaver, who is a Spider from Tolkien's Middle-earth, She spins webs as black as the void between stars. Her malice is so twisted that the minds of mortals are simple toys to her., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
159;"Sarqin, The Mother-of-All";"Spider";"Create a high-quality, full-body portrait of character named Sarqin, The Mother-of-All, who is a Spider from Tolkien's Middle-earth, A child of Shelob that has given birth to many monsters of Mirkwood., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
160;"Tauler the Hunter";"Monster";"Create a high-quality, full-body portrait of character named Tauler the Hunter, who is a Monster from Tolkien's Middle-earth, As large as a small elephant, he lies in ambush and fears no opponent., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
1000;"Goblin - łucznik";"Orc";"Create a high-quality, full-body portrait of character named Goblin - łucznik, who is a Orc from Tolkien's Middle-earth, Ten goblin ma szczególnie bystry wzrok i doskonale widzi w ciemności, a pewna ręka pozwala mu szyć z łuku z równą celnością za dnia, jak i nocą., wielding a Rogowy łuk with a Wyszczerbiony nóż strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
1001;"Ork - herszt";"Orc";"Create a high-quality, full-body portrait of character named Ork - herszt, who is a Orc from Tolkien's Middle-earth, Tylko najbardziej niegodziwi i okrutni orkowie żyją na tyle długo, by dochrapać się pozycji herszta i dowodzić swoim plemieniem albo bandą w bitwach. Hersztów łatwo rozpoznać: są zwykle najwięksi, mają najstraszliw-szy oręż i najokazalszą zbroję. Często noszą też pamiątki długiej służby u Władcy Ciemności – blizny i okaleczenia., wielding a Szabla with a Włócznia strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
1002;"Ork - wartownik";"Orc";"Create a high-quality, full-body portrait of character named Ork - wartownik, who is a Orc from Tolkien's Middle-earth, Najsilniejszych i najodważniejszych orków zakuwa się w najtwardszy pancerz, jaki tylko uda się wyklepać, i stawia na warcie, by strzegli jakiegoś miejsca z pomocą krzywego miecza i ciężkiej tarczy., wielding a Szabla with a Włócznia strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
1003;"Ork - żołdak";"Orc";"Create a high-quality, full-body portrait of character named Ork - żołdak, who is a Orc from Tolkien's Middle-earth, Orkowi żołnierze, zwykle zbrojni w niemożliwe do pomylenia krzywe szable, są wrzaskliwi i nieposłuszni. By utrzymać wśród nich dyscyplinę, niezbędny jest silny herszt, okrutny bat i ostry nóż., wielding a Szabla with a Włócznia strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
1004;"Wielki ork - wódz";"Orc";"Create a high-quality, full-body portrait of character named Wielki ork - wódz, who is a Orc from Tolkien's Middle-earth, Wielcy orkowie często władają swoimi pobratymcami o słabszej krwi., wielding a Ciężka szabla with a Włócznia o szerokim grocie strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
1005;"Wielki ork - obrońca";"Orc";"Create a high-quality, full-body portrait of character named Wielki ork - obrońca, who is a Orc from Tolkien's Middle-earth, Potwory o rozumie słabszym niż sprytni wodzowie, za cenę życia bronią swoich przywódców., wielding a Orkowy topór with a Włócznia o szerokim grocie strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
1006;"Wielki troll jaskiniowy";"Troll";"Create a high-quality, full-body portrait of character named Wielki troll jaskiniowy, who is a Troll from Tolkien's Middle-earth, Ta ogromna bestia, której lękają się nawet poganiacze, służy orkom do rozbijania obrony oraz miażdzenia ducha najgroźniejszych nawet wrogów., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
1006;"Troll jaskiniowy - niuchacz";"Troll";"Create a high-quality, full-body portrait of character named Troll jaskiniowy - niuchacz, who is a Troll from Tolkien's Middle-earth, Ta odmiana trolla jaskiniowego jest nieco mniejsza od innych, choć wciąż przewyższa rozmiarami orków. Niuchacze doskonale radzą sobie głęboko pod ziemią, polując samotnie i w zupełnej ciemności – jak nikt potrafią bowiem zwęszyć ofiarę., wielding a Maczuga.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
1007;"Troll kamienny - łupieżca";"Troll";"Create a high-quality, full-body portrait of character named Troll kamienny - łupieżca, who is a Troll from Tolkien's Middle-earth, Choć taki troll wygląda równie straszliwie, jak inni przedstawiciele tego rodzaju, wydaje się mniej potworny – a to dla tej przyczyny, że ma w zwyczaju nosić zgrzebne ubrania, gotować posiłki i używać prostych narzędzi, na przykład kubków i beczek., wielding a Maczuga.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
1008;"Troll kamienny - wódz";"Troll";"Create a high-quality, full-body portrait of character named Troll kamienny - wódz, who is a Troll from Tolkien's Middle-earth, Zdarza się, że na czele grupy kamiennych trollów staje najsilniejszy jej członek. Pod jego wodzą banda napada na kupców i samotne domostwa., wielding a Maczuga.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
1009;"Upiór kurhanu";"Upiory";"Create a high-quality, full-body portrait of character named Upiór kurhanu, who is a Upiory from Tolkien's Middle-earth, Upiory kurhanów przybyły na wzgórza Tyrn Gorthad z rozkazu Czarnoksiężnika z Angmaru, by wesprzeć go w wojnach przeciw królestwu Arnoru. Objawiają się jako wysokie i mroczne postaci o zimnych oczach pałających bladym światłem. Na kościanych palcach noszą pierścienie, a wokół zwiędłych szyi owijają złote łańcuchy. W dłoniach dzierżą pradawne, wyszczerbione miecze., wielding a Pradawny miecz.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
1010;"Złowroga zjawa";"Upiory";"Create a high-quality, full-body portrait of character named Złowroga zjawa, who is a Upiory from Tolkien's Middle-earth, Złowroga zjawa przyjmuje postać wędrowca, przemierzającego dawne ruiny, zgarbionego i okutango w płaszcz z kapturem, pod którym kryje oblicze upiora. Ciało ma niemal przezroczyste, a jej oczy lśnią jak rozżarzone węgle. Napatkana o zmroku może ująć za człowieka, potrafi bowiem mówić, choć głos ma syczący, a wymowę – dziwaczną. Złowrogie zjawy nie rozstają się ze starożytną bronią i potłuczonymi tarczami, pamiątkami dawnych wojen. Władają nimi z przerażającą wprawą., wielding a Wyszczerbiony miecz with a Okrutna włócznia strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
1012;"Istota z bagien";"The Nazgûl";"Create a high-quality, full-body portrait of character named Istota z bagien, who is a The Nazgûl from Tolkien's Middle-earth, Istoty z bagien to niezdborne, czekokopodobne stwory o chorobliwej, bladej skórze – jak u zwłok, które zbyt długo leżały w wodzie. Ale paskudny blask ich malutkich oczu zdradza ogromną wniośliwość i głęboką niegodziwość. Żyją pośród ruin, w dawnych siedzibach ludzi, najczęściej w pobliżu rozlewisk ciemnej, zatęchłej wody. Kryją się pod ziemią w niewielkich grupach, zawsze gotowe porwać nieświadomych wędrowców i zaciągnąć do głębokich piwnic, gdzie z upodobaniem gromadzą złoto., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
1013;"Dziki wilk";"Wilki Z Pustkowi";"Create a high-quality, full-body portrait of character named Dziki wilk, who is a Wilki Z Pustkowi from Tolkien's Middle-earth, To przeciętnych rozmiarów warg, tylko nieco większy od zwyczajnego wilka – ale po stokroć bardziej zajadły. Zwykle trzyma się watahy, ale czasem napotkać można samotnego myśliwego albo zwiadowcę, gotowego ostrzec innych wargów i różne inne istoty przenikliwym wyciem, które niesie się na wiele mil. Orkowie dosiadają czasem dzikich wilków tak, jak ludzie koni., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
1013;"Przewodnik watahy";"Wilki Z Pustkowi";"Create a high-quality, full-body portrait of character named Przewodnik watahy, who is a Wilki Z Pustkowi from Tolkien's Middle-earth, Przewodnik watahy góruje nad pozostałymi wargami rozmiarem, okrucieństwem i sprytem – dlatego stado gromadzi się przy nim w chwilach zagrożenia, na przykład, kiedy jego terytorium naruszy banda wędrownych poszukiwaczy przygód. Przewodnik nigdy nie wędruje sam i spotkać go można tylko w otoczeniu zgrai dzikich wilków., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
1014;"Pies Saurona";"Wilki Z Pustkowi";"Create a high-quality, full-body portrait of character named Pies Saurona, who is a Wilki Z Pustkowi from Tolkien's Middle-earth, Pies Saurona to zaufany sługa Władcy Ciemności, wybrany przez wzgląd na brutalność i szczególnie pokrętny umysł. Zawsze realizuje konkretne zadanie: gromadzi siły na zbliżającą się wojnę, poluje na określoną osobę albo bada jakiś teren. Choć wygląda jak zwyczajny warg, w jego ciele drzemie daleko straszliwsza siła., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
1015;"Zbir";"Evil Men";"Create a high-quality, full-body portrait of character named Zbir, who is a Evil Men from Tolkien's Middle-earth, Tchórzliwy bandyta, który bez wahania obrabuje bezbronną ofiarę, ale na samotnego poszukiwacza przygód zasadza się wyłącznie z kamratami., wielding a Pałka with a Łuk strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
1016;"Herszt bandytów";"Evil Men";"Create a high-quality, full-body portrait of character named Herszt bandytów, who is a Evil Men from Tolkien's Middle-earth, Naczelny bandyta jest silniejszy i bardziej zaciekły niż kamraci. Na swoją pozycję zapracował albo bystrością, albo pięścią., wielding a Krótki miecz with a Łuk strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
1017;"Rozbójnik";"Evil Men";"Create a high-quality, full-body portrait of character named Rozbójnik, who is a Evil Men from Tolkien's Middle-earth, Rozbójnik jest daleko groźniejszy niż zwykły bandyta: nawykł do życia w dzikich ostępach i wie, jak radzić sobie z uzbrojonymi ofiarami., wielding a Włócznia with a Łuk strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
1018;"Najeźdźca z Południa";"Evil Men";"Create a high-quality, full-body portrait of character named Najeźdźca z Południa, who is a Evil Men from Tolkien's Middle-earth, Gdy mija szczególnie ciężka zima, ludziom z Południa zdarza się zbierać w zbrojne bandy, które z zaskoczenia napadają na samotne domostwa, grabia je i co rychlej rozpływają się we mgle, z której się wyłoniły., wielding a Topór with a Krótka włócznia strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
1019;"Mocarz z Południa";"Evil Men";"Create a high-quality, full-body portrait of character named Mocarz z Południa, who is a Evil Men from Tolkien's Middle-earth, Mocarzem z Południa może być z równym powodzeniem wódz plemienia z Dunlandu, przywódca bandytów, który połączył poważniejsze bandy rabusiów w niewielką armię, albo po prostu szczególnie tęgi zbir., wielding a Włócznia with a Topór na długim stylisku strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
1020;"Búrzgul";"Monster";"Create a high-quality, full-body portrait of character named Búrzgul, who is a Monster from Tolkien's Middle-earth, Wojowniczy Búrzgul jest nikczemnym orkiem, wodzem obszarpanej bandy, która zeszła aż z Bramy Goblinów w Górach Mglistych, by dołączyć do wilków z Ciemnych Jam. Usłyszał o tym miejscu od swego najbardziej zaufanego kamrata, ogromnego warga imieniem Szlaka, o futrze czarnym jak noc i płonących żółtych oczach. Jak na razie nikt, nawet Strażnicy Północy, nie ma pojęcia, że na Południowych Wzgórzach zaległo się nowe zagrożenie. Orkowie i wilki czekają na jakąś większą sposobność, póki co przeprowadzili tylko kilka świetnie obmyślonych ataków, z których nikt nie uszedł z życiem. Najgorsze jest jednak to, że Búrzgul regularnie się posłańców do większych skupisk orków w Angmarze i Górach Mglistych, więc nowiny z Bree bardzo szybko docierają do uszu agentów Cienia., wielding a Ciężka szabla with a Włócznia strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
1021;"Szlaka";"Monster";"Create a high-quality, full-body portrait of character named Szlaka, who is a Monster from Tolkien's Middle-earth, Szlaka to ogromny warg o futrze czarnym jak noc i płonących żółtych oczach. Jest zaufanym kamratem Búrzgula, z którym razem planują ataki z ukrycia. Potrafi poruszać się w ciszy i niespodziewanie atakować z wielką zajadłością, łącząc zęby i pazury w śmiertelnych kombinacjach., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
